,Names,Accuracy,Precision
0,linear_models,0.8079710144927537,0.7961783439490446
1,ensembles models,0.8079710144927537,0.7961783439490446
2,dist_prob models,0.782608695652174,0.7654320987654321
3,tree models,0.7789855072463768,0.7575757575757576
